Sno,QUARTER,seg_lvl5,L3_PROD_DESC,Sum(chrg_amt),
1,Q4-2016,Sector2,Prod1,3825698.92,
2,Q1-2016,Sector2,Prod1,-16.5,
3,Q4-2016,Sector2,Prod1,-10.78,
4,Q1-2016,Sector2,Prod1,6051109.278,
5,Q2-2016,Sector4,Prod1,-213.54,
6,Q3-2016,Sector2,Prod1,-33.01,
7,Q1-2016,Sector5,Prod1,-5.78,
8,Q4-2016,Sector2,Prod1,3369.42,
9,Q3-2016,Sector2,Prod1,3529273.63,
10,Q4-2016,Sector2,Prod1,42364.08,
11,Q4-2016,Sector2,Prod1,213820.01,
12,Q4-2016,Other,Prod1,-25.44,
13,Q4-2016,Sector4,Prod1,-280.55,
14,Q2-2016,Sector2,Prod1,4500260.108,
15,Q4-2016,Sector5,Prod1,-10.36,
16,Q3-2016,Sector2,Prod1,47782.8,
17,Q3-2016,Other,Prod1,-57.67,
18,Q1-2016,Sector2,Prod1,71769.94,
19,Q3-2016,Sector3,Prod1,-8681.69,
20,Q3-2016,Sector2,Prod1,20524.95,
21,Q2-2016,Other,Prod1,-50.6,
22,Q4-2016,Sector2,Prod1,4087767.889,
23,Q2-2016,Sector2,Prod1,178312.13,
24,Q1-2016,Sector2,Prod1,-0.86,
25,Q1-2016,Other,Prod1,-81.88,
26,Q4-2016,Sector2,Prod1,107843.73,
27,Q4-2016,Sector2,Prod1,65708.98,
28,Q3-2016,Sector2,Prod1,20.14,
29,Q1-2016,Sector4,Prod1,-87.47,
30,Q2-2016,Sector2,Prod1,56767.01,
31,Q3-2016,Sector4,Prod1,-214.36,
32,Q3-2016,Sector2,Prod1,80216.13,
33,Q2-2016,Sector2,Prod1,-19.5,
34,Q3-2016,Sector2,Prod1,145319.57,
35,Q1-2016,Sector2,Prod1,1982192.98,
36,Q1-2016,Sector3,Prod1,-4592.21,
37,Q1-2016,Sector4,Prod1,-4905.76,
38,Q1-2016,Sector2,Prod1,45.64,
39,Q2-2016,Sector2,Prod1,96554.34,
40,Q3-2016,Sector2,Prod1,4467699.735,
41,Q2-2016,Sector2,Prod1,3585911.8,
42,Q2-2016,Sector2,Prod1,16033.86,
43,Q2-2016,Sector2,Prod1,23.74,
44,Q4-2016,Sector3,Prod1,-7125.68,
45,Q1-2016,Sector2,Prod1,119303.33,
46,Q2-2016,Sector5,Prod1,-9,
47,Q1-2016,Sector2,Prod1,164.48,
48,Q3-2016,Sector5,Prod1,-18.75,
49,Q4-2016,Other,Prod1,0.1,
50,Q3-2016,Other,Prod1,0,
51,Q2-2016,Sector3,Prod1,-7283.78,
52,Q1-2016,Sector2,Prod1,224731.93,
53,Q2-2016,Other,Prod1,0,
54,Q4-2016,Other,Emergency Communications,0,
