Sno,Product Group,Product,Time spent (seconds),Look-to-click rate,Click-to-basket rate,Basket-to-buy rate,Look-to-buy rate,Measurement Period
2,Auto,A101,48.0,15.0,18.2,12.5,0.3,Before Stimuli
6,Auto,A102,35.2,11.0,13.4,20.6,0.3,Before Stimuli
10,Auto,A103,43.2,12.0,8.5,18.8,0.2,Before Stimuli
14,Auto,A104,64.0,20.0,22.8,35.8,1.6,Before Stimuli
18,Auto,A105,31.2,13.0,12.7,8.1,0.1,Before Stimuli
22,Auto,A106,53.2,19.0,17.5,24.7,0.8,Before Stimuli
26,Auto,A107,28.8,12.0,12.7,15.6,0.2,Before Stimuli
30,Auto,A108,37.4,11.0,13.2,9.9,0.1,Before Stimuli
34,Auto,A109,30.0,15.0,19.5,12.3,0.4,Before Stimuli
38,Auto,A110,31.2,12.0,9.8,14.2,0.2,Before Stimuli
42,Auto,A101,46.8,18.0,18.4,20.3,0.7,After Stimuli
46,Auto,A102,52.8,13.2,12.7,25.7,0.4,After Stimuli
50,Auto,A103,37.4,14.4,13.4,26.2,0.5,After Stimuli
54,Auto,A104,57.6,24.0,24.0,13.7,0.8,After Stimuli
58,Auto,A105,43.7,15.6,18.4,22.6,0.6,After Stimuli
62,Auto,A106,45.6,22.8,20.3,14.6,0.7,After Stimuli
66,Auto,A107,31.7,14.4,16.0,28.4,0.7,After Stimuli
70,Auto,A108,39.6,13.2,13.3,23.9,0.4,After Stimuli
74,Auto,A109,72.0,18.0,22.1,26.3,1.0,After Stimuli
78,Auto,A110,34.6,14.4,14.5,14.0,0.3,After Stimuli
3,Durables,D101,10.0,5.0,5.0,3.4,0.0,Before Stimuli
7,Durables,D102,19.8,9.0,11.6,9.9,0.1,Before Stimuli
11,Durables,D103,19.0,5.0,4.9,9.3,0.0,Before Stimuli
15,Durables,D104,35.2,11.0,11.6,8.5,0.1,Before Stimuli
19,Durables,D105,28.8,12.0,11.9,13.7,0.2,Before Stimuli
23,Durables,D106,56.0,14.0,16.4,21.0,0.5,Before Stimuli
27,Durables,D107,19.2,6.0,6.4,9.5,0.0,Before Stimuli
